"Study ID","Citation","Data Source Notes","SAR_type","Island_Type","Lat","Lon","Study location","Ecoregion","Mean_Annual_Precip","Number of islands in study","Min_A","Max_A","Range(order of magnitude)","Total_SR","C","Z","Std_Error","R2","Notes","z_origin","Exotic_percent","Numb_exotic_sp","Isolation_km"
"13","Sarnat, E., Blanchard, B., Guénard, B., Fasi, J., & Economo, E. (2013). Checklist of the ants (Hymenoptera, Formicidae) of the Solomon Islands and a new survey of Makira Island. ZooKeys, 257, 47–88. https://doi.org/10.3897/zookeys.257.4156",NA,"Insular","Oceanic",-9.155282,159.799091,"Solomon","Australasia",2421,31,183000,5.3e+15,4.46196406,237,1.54,0.2,0.08,0.15,NA,"self",0.101265823,24,1588.66
"15","Woinarski, J. C. ., Reichel, H., & Andersen, A. N. (1998). The distribution of ants on the Wessel and English Company Islands, in the seasonal tropics of Australia’s Northern Territory. Australian Journal of Zoology, 46, 557–578.",NA,"Insular","Continental",-11.968581,135.692886,"Wesell and English Islands Company groups","Australasia",1403,34,15000,209730000,4.145569298,74,2.21,0.29,0.03,0.71,NA,"self",0.027027027,2,1.78
"16","Wilson, Edward O. (1988). The Biogeography of the West Indian Ants (Hymenoptera:Formicidae). In Zoogeography of Carribean Insects (pp. 214–230)",NA,"Insular","Continental",18.728625,-71.116239,"West Indian Isands","Neotropic",896,20,2.6e+07,1.15e+11,3.643926952,383,1.5,0.28,0.06,0.47,NA,"self",NA,NA,48.32
"17","Vasconcelos, H. L., Vilhena, J. M. S., Magnusson, W. E., & Albernaz, A. L. K. M. (2006). Long-term effects of forest fragmentation on Amazonian ant communities. Journal of Biogeography, 33(8), 1348–1356. https://doi.org/10.1111/j.1365-2699.2006.01516.x","Data was provided after emailing the lead author of the study using the corresponding author's email","Mainland","Mainland Island",-2.5,-54.95,"Alter do Chao","Neotropic",2009,26,23892,3610000,2.179254696,268,4.33,0.04,0.01,0.3,NA,"self",0,0,NA
"19","Morrison, L. W. (1997). Polynesian ant (Hymenoptera: Formicidae) species richness and distribution: A regional survey. Acta Oecologica, 18(6), 685–695. https://doi.org/10.1016/S1146-609X(97)80051-3",NA,"Insular","Oceanic",-17.613219,-149.53079,"Polynesian islands","Oceania",2057,13,2600000,3.16e+08,2.084713735,38,1.5,0.21,0.15,0.06,NA,"self",0.657894737,25,4819.66
"22","Terayama M. & Murata K. (1987). Relation between ant communities and vegetations of Toshima Island the Izu Islands Japan. Bulletin of the Biogeographical Society of Japan, 42, 57-64",NA,"Insular","Oceanic",34.523924,139.280467,"Toshima Island, Izu Islands","Palearctic",2475,NA,4120000,91063982,1.344449421,NA,NA,0.07,NA,NA,"can't find actual paper, just slope value","paper",NA,NA,33.41
"23","Suarez, A. V., Bolger, D. T., & Case, T. J. (1998). Effects of fragmentation and invasion on native ant communities in coastal southern California. Ecology, 79(6), 2041–2056. https://doi.org/10.1890/0012-9658(1998)079[2041:EOFAIO]2.0.CO;2",NA,"Mainland","Mainland Island",32.804543,-117.066751,"San Diego County","Nearctic",283,40,4000,1016100,2.40487646,50,2.52,0.39,0.06,0.5,NA,"self",0.08,4,NA
"24","Wetterer, J. K., & O’Hara, B. C. (2002). Ants (Hymenoptera: Formicidae) of the Dry Tortugas, the outermost Florida Keys. Florida Entomologist, 85(2), 303–307. https://doi.org/10.1653/0015-4040(2002)085[0303:ahfotd]2.0.co;2",NA,"Insular","Continental",24.6333,-82.8749,"Dry tortugas","Neotropic",1138,5,8000,260000,1.511883361,17,2.74,0.28,0.15,0.39,NA,"self",0.764705882,13,185.01
"25","Wetterer, J. K., Espadaler, X., Wetterer, A. L., Aguin-Pombo, D., & Franquinho-Aguiar, A. M. (2007). Ants (Hymenoptera: Formicidae) of the Madeiran archipelago. Sociobiology, 49(3), 265–297.",NA,"Insular","Oceanic",32.733338,-16.918018,"Madeiran Archipelago","Palearctic",712,4,2730000,7.41e+08,2.433655561,28,0.63,0.43,0.1,0.84,NA,"self",0.642857143,18,687.87
"27","Cole, B. J. (1983). Assembly of mangrove ant communities: Patterns of geographical distribution. Journal of Animal Ecology, 52(2), 339–347.",NA,"Insular","Continental",24.606084,-81.590183,"Mangrone islands, florida keys, small islands in sugarloaf key, saddlebrunch keys, big coppitt keys","Neotropic",1024,81,0.3,877,3.465878339,5,NA,0.21,NA,0.9,NA,"paper",0.2,1,74.37
"31","Sugiura, S. (2010). Species interactions-area relationships: Biological invasions and network structure in relation to island area. Proceedings of the Royal Society B: Biological Sciences, 277(1689), 1807–1815. https://doi.org/10.1098/rspb.2009.2086",NA,"Insular","Oceanic",27.069369,142.216814,"Japan","Palearctic",1351,5,490000,23990000,1.689834168,23,2.11,0.17,0.03,0.86,NA,"self",0.869565217,20,1539.55
"32","Leal, I. R., Filgueiras, B. K. C., Gomes, J. P., Iannuzzi, L., & Andersen, A. N. (2012). Effects of habitat fragmentation on ant richness and functional composition in Brazilian Atlantic forest. Biodiversity and Conservation, 21(7), 1687–1701. https://doi.org/10.1007/s10531-012-0271-9",NA,"Mainland","Mainland Island",-8.866667,-35.866667,"Brazil, Usina Serra Grande","Neotropic",1515,19,101700,3.5e+07,2.536747091,146,3.98,0.05,0.03,0.1,NA,"self",0,0,NA
"33","Wetterer, J.K., X. Espadaler, A.L. Wetterer, and S.G.M. Cabral. 2004. Native and exotic ants of the Azores (Hymenoptera: Formicidae). Sociobiology 44: 1-20.",NA,"Insular","Oceanic",38.553958,-25.495773,"Azores, Portugal","Palearctic",1386,9,2e+07,7.69e+08,1.584896344,14,-0.59,0.45,0.07,0.84,NA,"self",0.571428571,8,1435.25
"37","Wetterer Unpublished Data","Access was given in the form of unpublished manuscripts. Please contact James Wetterer at wetterer@fau.edu","Insular","Oceanic",16.056147,-23.855654,"Cabo Verde, Atlantic","Afrotropic",317,9,6.7e+07,9.4e+08,1.147053051,39,1.79,0.17,0.08,0.26,NA,"self",0.282051282,11,630.74
"39","Baroni-Urbani, C. (1968). Studi sulla mirmecofauna d’Italia. IV. La fauna mirmecologica delle isole Maltesi ed il suo significato ecologico e biogeografico. Ann. Mus. Civ. Stor. Nat. “Giacomo Doria,”77, 408–559.",NA,"Insular","Continental",35.90746245,14.41161466,"Maltese Archipelago","Palearctic",420,9,34561,2.571e+10,5.871515777,56,1.7,0.21,0.053,0.66,NA,"self",NA,NA,13.22
"40","Baroni-Urbani, C. (1971). Studien zur Ameisenfauna Italiens XI. Die Ameisen des Toskanischen Archipels. Betrachtungen zur Herkunft der Inselfaunen. Rev. Suisse Zool., 7(78), 1037–1067.",NA,"Insular","Continental",42.79402502,10.20736475,"Tuscan Archipelago","Palearctic",633.6,22,150,224008000,6.17417227,48,2.45,0.21,0.03,0.65,NA,"self",NA,NA,11.58
"41","Baroni Urbani, C. 1974. Studi sulla mirmecofauna d'Italia. XII. Le Isole Pontine. Fragm. Entomol. 9: 225-252.",NA,"Insular","Oceanic",40.91522124,12.95862017,"Pontine Islands","Palearctic",676,10,2000,7e+06,3.544068044,27,2.22,0.31,0.09,0.56,NA,"self",NA,NA,35.89
"45","Collingwood, C. A. 1993b. A comparative study of the ant fauna of five Greek islands. Biologia Gallo-Hellenica 20:191-197.",NA,"Insular","Oceanic",38.21142886,20.58716281,"Ionian islands","Palearctic",873.2,5,76197450,842523000,1.043641328,71,2.12,0.19,0.15,0.35,NA,"self",0.056338028,4,39.45
"46","Zhao, Y, Dunn, RR, Zhou, H, Si, X, Ding, P. Island area, not isolation, drives taxonomic, phylogenetic and functional diversity of ants on land‐bridge islands. J Biogeogr. 2020; 47: 1627– 1637.",NA,"Mainland","Mainland Island",29.55521049,118.9351993,"Thousand Island Lake","Palearctic",1430,33,1328.666668,12892323.28,3.986915147,66,4.02,0.18,0.016,0.79,NA,"self",0.045454545,3,NA
"49","Menozzi, C. (1936). Nuovi contributi alla conoscenza della fauna delle Isole italiane dell’Egeo. VI. Hymenoptera - Formicidae. Bollettino Del Laboratorio Di Zoologia Generale e Agraria Della Reale Scuola Superiore d’Agricoltura. Portici, 29, 261–311.",NA,"Insular","Oceanic",36.22224196,28.00973826,"Dodecanese islands","Palearctic",813.0714286,14,4558379,1.401e+09,2.487627704,64,-0.47,0.55,0.12,0.6,NA,"self",NA,NA,11
"14a","Boulton, A. M., & Ward, P. S. (2002). Ants. In T. J. Case, M. L. Cody, & E. Exequiel (Eds.), Island Biogeography of the Sea of Cortez (pp. 112–126). Oxford University Press.",NA,"Insular","Oceanic",26.7313,-110.7122,"Sea of Cortez","Neotropic",180.5,37,4000,1173400000,5.467386093,24,2.3,0.33,0.07,0.66,"High Confidence sampling data set","self",0.041666667,1,1.96
"14b","Boulton, A. M., & Ward, P. S. (2002). Ants. In T. J. Case, M. L. Cody, & E. Exequiel (Eds.), Island Biogeography of the Sea of Cortez (pp. 112–126). Oxford University Press.",NA,"Insular","Oceanic",26.7313,-110.7122,"Sea of Cortez","Neotropic",248,37,4000,1173400000,5.467386093,59,1.61,0.11,0.04,0.22,"Low Confidence sampling data set","self",0.016949153,1,0.63
"18a","Choi, B. M., Ogata, K., & Terayama, M. (1993). Comparative studies of ant faunas of Korea and Japan I. Faunal comparison among islands of Southern Korea and Northern Kyushu, Japan. Bulletin of the Biogeographic Society of Japan, 48(1), 37–49.",NA,"Insular","Oceanic",33.309075,129.675633,"Japan","Palearctic",2123,4,1.34e+08,7.9e+10,2.770522293,83,1.205,0.17,NA,0.813,"Can't find original data","paper",NA,NA,686.08
"18b","Choi, B. M., Ogata, K., & Terayama, M. (1993). Comparative studies of ant faunas of Korea and Japan I. Faunal comparison among islands of Southern Korea and Northern Kyushu, Japan. Bulletin of the Biogeographic Society of Japan, 48(1), 37–49.",NA,"Insular","Continental",35.007123,127.717349,"Korea","Palearctic",1529,7,5900000,2.46e+10,3.620083095,66,1.273,0.12,NA,0.594,"Can't find original data","paper",NA,NA,100.39
"20a","Wilson, E.O., & Taylor, R. W. (1967). An estimate of the potential evolutionary increase in species density in the Polynesian ant fauna. Evolution, 21(1), 1. https://doi.org/10.2307/2406735",NA,"Insular","Oceanic",-17.613219,-149.530786,"Polynesian islands","Oceania",2057,33,NA,NA,NA,38,NA,0.22,NA,NA,NA,"paper",NA,NA,3866.97
"20b","Wilson, E.O., & Taylor, R. W. (1967). An estimate of the potential evolutionary increase in species density in the Polynesian ant fauna. Evolution, 21(1), 1. https://doi.org/10.2307/2406735",NA,"Insular","Oceanic",-9.155282,159.799091,"Solomon Islands","Oceania",2421,6,NA,NA,NA,83,NA,0.14,NA,NA,NA,"paper",0.4578,NA,1856.52
"30a","Sanders, N. J. (2002). Elevational gradients in ant species richness: Area, geometry, and Rapoport’s rule. Ecography, 25(1), 25–32. https://doi.org/10.1034/j.1600-0587.2002.250104.x",NA,"Mainland","Mainland Island",39.276488,-110.570176,"Western United States","Nearctic",253,3,NA,NA,NA,NA,-1.85,0.9,NA,0.75,"Can't find original data","paper",NA,NA,NA
"30b","Sanders, N. J. (2002). Elevational gradients in ant species richness: Area, geometry, and Rapoport’s rule. Ecography, 25(1), 25–32. https://doi.org/10.1034/j.1600-0587.2002.250104.x",NA,"Mainland","Mainland Island",39.276488,-110.570176,"Western United States","Nearctic",253,3,NA,NA,NA,NA,0.122,0.4,NA,0.71,"Can't find original data","paper",NA,NA,NA
"30c","Sanders, N. J. (2002). Elevational gradients in ant species richness: Area, geometry, and Rapoport’s rule. Ecography, 25(1), 25–32. https://doi.org/10.1034/j.1600-0587.2002.250104.x",NA,"Mainland","Mainland Island",39.276488,-110.570176,"Western United States","Nearctic",253,3,NA,NA,NA,NA,-0.5,0.52,NA,0.53,"Can't find original data","paper",NA,NA,NA
"7a","Wilson, E. (1961). The nature of the taxon cycle in the Melanesian ant fauna. The American Naturalist, 95(882), 169–193.",NA,"Insular","Continental",-8.245769,147.034452,"New Guinea","Australasia",2733,5,NA,NA,NA,NA,1.54,0.09,NA,NA,NA,"paper",NA,NA,296.54
"7b","Wilson, E. (1961). The nature of the taxon cycle in the Melanesian ant fauna. The American Naturalist, 95(882), 169–193.",NA,"Insular","Oceanic",-9.590903,160.283241,"Melanesian Islands","Australasia",2551,26,2.51e+08,3.652e+10,2.162857047,NA,0.03,0.3,NA,NA,NA,"paper",NA,NA,NA
