"Study_ID","Citation","Data Source Notes","SAR_TYPE","Island.Type","Study location","Biogeo_realm","Island_area","Species Richness"
"6","Dean, W. R. J., & Bond, W. J. (1990). Evidence for rapid faunal changes on islands in a man-made lake. Oecologia, 83(3), 388–391. https://doi.org/10.1007/BF00317573",NA,"Mainland","Habitat-Patches","hendrik verwoerd dam","Afrotropic",6500000,17
"8","Cuissi, R. G., Lasmar, C. J., Moretti, T. S., Schmidt, F. A., Fernandes, W. D., Falleiros, A. B., Schoereder, J. H., & Ribas, C. R. (2015). Ant community in natural fragments of the Brazilian wetland: species–area relation and isolation. Journal of Insect Conservation, 19(3), 531–537. https://doi.org/10.1007/s10841-015-9774-5",NA,"Mainland","Habitat-Patches","Corumba, County, Brazil","Neotropic",1200,11
"8","Cuissi, R. G., Lasmar, C. J., Moretti, T. S., Schmidt, F. A., Fernandes, W. D., Falleiros, A. B., Schoereder, J. H., & Ribas, C. R. (2015). Ant community in natural fragments of the Brazilian wetland: species–area relation and isolation. Journal of Insect Conservation, 19(3), 531–537. https://doi.org/10.1007/s10841-015-9774-6",NA,"Mainland","Habitat-Patches","Corumba, County, Brazil","Neotropic",1200,19
"8","Cuissi, R. G., Lasmar, C. J., Moretti, T. S., Schmidt, F. A., Fernandes, W. D., Falleiros, A. B., Schoereder, J. H., & Ribas, C. R. (2015). Ant community in natural fragments of the Brazilian wetland: species–area relation and isolation. Journal of Insect Conservation, 19(3), 531–537. https://doi.org/10.1007/s10841-015-9774-7",NA,"Mainland","Habitat-Patches","Corumba, County, Brazil","Neotropic",3675,20
"8","Cuissi, R. G., Lasmar, C. J., Moretti, T. S., Schmidt, F. A., Fernandes, W. D., Falleiros, A. B., Schoereder, J. H., & Ribas, C. R. (2015). Ant community in natural fragments of the Brazilian wetland: species–area relation and isolation. Journal of Insect Conservation, 19(3), 531–537. https://doi.org/10.1007/s10841-015-9774-8",NA,"Mainland","Habitat-Patches","Corumba, County, Brazil","Neotropic",1200,20
"8","Cuissi, R. G., Lasmar, C. J., Moretti, T. S., Schmidt, F. A., Fernandes, W. D., Falleiros, A. B., Schoereder, J. H., & Ribas, C. R. (2015). Ant community in natural fragments of the Brazilian wetland: species–area relation and isolation. Journal of Insect Conservation, 19(3), 531–537. https://doi.org/10.1007/s10841-015-9774-9",NA,"Mainland","Habitat-Patches","Corumba, County, Brazil","Neotropic",1800,23
"8","Cuissi, R. G., Lasmar, C. J., Moretti, T. S., Schmidt, F. A., Fernandes, W. D., Falleiros, A. B., Schoereder, J. H., & Ribas, C. R. (2015). Ant community in natural fragments of the Brazilian wetland: species–area relation and isolation. Journal of Insect Conservation, 19(3), 531–537. https://doi.org/10.1007/s10841-015-9774-10",NA,"Mainland","Habitat-Patches","Corumba, County, Brazil","Neotropic",3675,37
"8","Cuissi, R. G., Lasmar, C. J., Moretti, T. S., Schmidt, F. A., Fernandes, W. D., Falleiros, A. B., Schoereder, J. H., & Ribas, C. R. (2015). Ant community in natural fragments of the Brazilian wetland: species–area relation and isolation. Journal of Insect Conservation, 19(3), 531–537. https://doi.org/10.1007/s10841-015-9774-11",NA,"Mainland","Habitat-Patches","Corumba, County, Brazil","Neotropic",4800,38
"8","Cuissi, R. G., Lasmar, C. J., Moretti, T. S., Schmidt, F. A., Fernandes, W. D., Falleiros, A. B., Schoereder, J. H., & Ribas, C. R. (2015). Ant community in natural fragments of the Brazilian wetland: species–area relation and isolation. Journal of Insect Conservation, 19(3), 531–537. https://doi.org/10.1007/s10841-015-9774-12",NA,"Mainland","Habitat-Patches","Corumba, County, Brazil","Neotropic",6075,63
"9","Mühlenberg, A. M., Leipold, D., Mader, H. J., & Steinhauer, B. (2016). Island ecology of arthropods. II. Niches and relative abundances of Seychelles Ants (Formicidae) in different habitats. Oecologia, 29(2), 135–144.",NA,"Insular","Oceanic","Central Seychelles Islands","Afrotropic",7700,11
"9","Mühlenberg, A. M., Leipold, D., Mader, H. J., & Steinhauer, B. (2016). Island ecology of arthropods. II. Niches and relative abundances of Seychelles Ants (Formicidae) in different habitats. Oecologia, 29(2), 135–144.",NA,"Insular","Oceanic","Central Seychelles Islands","Afrotropic",850000,16
"9","Mühlenberg, A. M., Leipold, D., Mader, H. J., & Steinhauer, B. (2016). Island ecology of arthropods. II. Niches and relative abundances of Seychelles Ants (Formicidae) in different habitats. Oecologia, 29(2), 135–144.",NA,"Insular","Oceanic","Central Seychelles Islands","Afrotropic",350000,17
"10","Schoereder, J. H., Galbiati, C., Ribas, C. R., Sobrinho, T. G., Sperber, C. F., DeSouza, O., & Lopes-Andrade, C. (2004). Should we use proportional sampling for species-area studies? Journal of Biogeography, 31(8), 1219–1226. https://doi.org/10.1111/j.1365-2699.2004.01113.x",NA,"Mainland","Habitat-Patches","Vicosam, Brazil","Neotropic",3.74,13
"10","Schoereder, J. H., Galbiati, C., Ribas, C. R., Sobrinho, T. G., Sperber, C. F., DeSouza, O., & Lopes-Andrade, C. (2004). Should we use proportional sampling for species-area studies? Journal of Biogeography, 31(8), 1219–1226. https://doi.org/10.1111/j.1365-2699.2004.01113.x",NA,"Mainland","Habitat-Patches","Vicosam, Brazil","Neotropic",4.05,13
"10","Schoereder, J. H., Galbiati, C., Ribas, C. R., Sobrinho, T. G., Sperber, C. F., DeSouza, O., & Lopes-Andrade, C. (2004). Should we use proportional sampling for species-area studies? Journal of Biogeography, 31(8), 1219–1226. https://doi.org/10.1111/j.1365-2699.2004.01113.x",NA,"Mainland","Habitat-Patches","Vicosam, Brazil","Neotropic",4.21,14
"10","Schoereder, J. H., Galbiati, C., Ribas, C. R., Sobrinho, T. G., Sperber, C. F., DeSouza, O., & Lopes-Andrade, C. (2004). Should we use proportional sampling for species-area studies? Journal of Biogeography, 31(8), 1219–1226. https://doi.org/10.1111/j.1365-2699.2004.01113.x",NA,"Mainland","Habitat-Patches","Vicosam, Brazil","Neotropic",6.91,14
"10","Schoereder, J. H., Galbiati, C., Ribas, C. R., Sobrinho, T. G., Sperber, C. F., DeSouza, O., & Lopes-Andrade, C. (2004). Should we use proportional sampling for species-area studies? Journal of Biogeography, 31(8), 1219–1226. https://doi.org/10.1111/j.1365-2699.2004.01113.x",NA,"Mainland","Habitat-Patches","Vicosam, Brazil","Neotropic",4.99,16
"10","Schoereder, J. H., Galbiati, C., Ribas, C. R., Sobrinho, T. G., Sperber, C. F., DeSouza, O., & Lopes-Andrade, C. (2004). Should we use proportional sampling for species-area studies? Journal of Biogeography, 31(8), 1219–1226. https://doi.org/10.1111/j.1365-2699.2004.01113.x",NA,"Mainland","Habitat-Patches","Vicosam, Brazil","Neotropic",5.27,16
"10","Schoereder, J. H., Galbiati, C., Ribas, C. R., Sobrinho, T. G., Sperber, C. F., DeSouza, O., & Lopes-Andrade, C. (2004). Should we use proportional sampling for species-area studies? Journal of Biogeography, 31(8), 1219–1226. https://doi.org/10.1111/j.1365-2699.2004.01113.x",NA,"Mainland","Habitat-Patches","Vicosam, Brazil","Neotropic",5.77,16
"10","Schoereder, J. H., Galbiati, C., Ribas, C. R., Sobrinho, T. G., Sperber, C. F., DeSouza, O., & Lopes-Andrade, C. (2004). Should we use proportional sampling for species-area studies? Journal of Biogeography, 31(8), 1219–1226. https://doi.org/10.1111/j.1365-2699.2004.01113.x",NA,"Mainland","Habitat-Patches","Vicosam, Brazil","Neotropic",5.56,17
"10","Schoereder, J. H., Galbiati, C., Ribas, C. R., Sobrinho, T. G., Sperber, C. F., DeSouza, O., & Lopes-Andrade, C. (2004). Should we use proportional sampling for species-area studies? Journal of Biogeography, 31(8), 1219–1226. https://doi.org/10.1111/j.1365-2699.2004.01113.x",NA,"Mainland","Habitat-Patches","Vicosam, Brazil","Neotropic",3.21,20
"10","Schoereder, J. H., Galbiati, C., Ribas, C. R., Sobrinho, T. G., Sperber, C. F., DeSouza, O., & Lopes-Andrade, C. (2004). Should we use proportional sampling for species-area studies? Journal of Biogeography, 31(8), 1219–1226. https://doi.org/10.1111/j.1365-2699.2004.01113.x",NA,"Mainland","Habitat-Patches","Vicosam, Brazil","Neotropic",7.97,20
"10","Schoereder, J. H., Galbiati, C., Ribas, C. R., Sobrinho, T. G., Sperber, C. F., DeSouza, O., & Lopes-Andrade, C. (2004). Should we use proportional sampling for species-area studies? Journal of Biogeography, 31(8), 1219–1226. https://doi.org/10.1111/j.1365-2699.2004.01113.x",NA,"Mainland","Habitat-Patches","Vicosam, Brazil","Neotropic",8,20
